Date of Sale,Address,Location,Living Area,Room,Ancillary Areas(),Plot,Closing Price
5 oktober 2017,Enekullsvägen 28,"Enekullen,
          Kungälvs kommun","125
                  
                    + 18 m²
                  
               
                4 rum","125
                  
                    + 18 m²
                  
               
                4 rum",+ 22 m²,789 m² tomt,+14 %
3 oktober 2017,Skårshöjd 8,"Kärna,
          Kungälvs kommun","120
                  
                    + 40 m²
                  
               
                5 rum","120
                  
                    + 40 m²
                  
               
                5 rum",+ 4 m²,900 m² tomt,Slutpris 7 900 000 kr
2 oktober 2017,Lundby 280,"Kareby 1,
          Kungälvs kommun","85 m²
               
                4 rum","85 m²
               
                4 rum",+ 96 m²,2 056 m² tomt,-7 %
29 september 2017,Rosenstensvägen 3,"Kode,
          Kungälvs kommun","143 m²
               
                6 rum","143 m²
               
                6 rum",+ 50 m²,458 m² tomt,Slutpris 1 650 000 kr
25 september 2017,Bräcke 330,"Kärna,
          Kungälvs kommun","86 m²
               
                4 rum","86 m²
               
                4 rum",+ 20 m²,1 188 m² tomt,-8 %
22 september 2017,Ulvesund 419,"Kungälv - Ulvesund,
          Kungälvs kommun","65 m²
               
                2 rum","65 m²
               
                2 rum",+ 102 m²,688 m² tomt,Slutpris 7 160 000 kr
21 september 2017,Bergåsvägen 23,"Ytterby,
          Kungälvs kommun","131
                  
                    + 37 m²
                  
               
                5 rum","131
                  
                    + 37 m²
                  
               
                5 rum",+ 20 m²,1 267 m² tomt,+10 %
20 september 2017,Vävra 710,"Hålta,
          Kungälvs kommun","100
                  
                    + 100 m²
                  
               
                5 rum","100
                  
                    + 100 m²
                  
               
                5 rum",+ 50 m²,4 794 m² tomt,Slutpris 5 475 000 kr
20 september 2017,Trätäljagatan 2,"Iskällan,
          Kungälvs kommun","147
                  
                    + 147 m²
                  
               
                9 rum","147
                  
                    + 147 m²
                  
               
                9 rum",+ 15 m²,937 m² tomt,+10 %
14 september 2017,Håkons gata 6,"Iskällan,
          Kungälvs kommun","117 m²
               
                4 rum","117 m²
               
                4 rum",+ 9 m²,960 m² tomt,Slutpris 3 965 000 kr
10 september 2017,Torp 340,"Kareby,
          Kungälvs kommun","127
                  
                    + 100 m²
                  
               
                6 rum","127
                  
                    + 100 m²
                  
               
                6 rum",+ 58 m²,21 023 m² tomt,+4 %
8 september 2017,Västra Åkerhögsvägen 17,"Kärna,
          Kungälvs kommun","155
                  
                    + 20 m²
                  
               
                6 rum","155
                  
                    + 20 m²
                  
               
                6 rum",+ 7 m²,1 824 m² tomt,Slutpris 4 150 000 kr
7 september 2017,Rävo 170,"Hålta,
          Kungälvs kommun","165
                  
                    + 60 m²
                  
               
                5 rum","165
                  
                    + 60 m²
                  
               
                5 rum",+ 42 m²,4 627 m² tomt,+11 %
7 september 2017,Törnrosgatan 5,"Ytterby Tornhaga,
          Kungälvs kommun","195 m²
               
                6 rum","195 m²
               
                6 rum",+ 39 m²,1 075 m² tomt,Slutpris 2 495 000 kr
5 september 2017,Snäckliden 13,"Sundhammar,
          Kungälvs kommun","48
                  
                    + 33 m²
                  
               
                4 rum","48
                  
                    + 33 m²
                  
               
                4 rum",+ 37 m²,1 590 m² tomt,±0 %
1 september 2017,Bergåsvägen 16e,"Kungälv - Ytterby,
          Kungälvs kommun","100 m²
               
                4 rum","100 m²
               
                4 rum",+ 36 m²,602 m² tomt,Slutpris 1 600 000 kr
31 augusti 2017,Sjöhåla 170,"KÄRNA,
          Kungälvs kommun","124
                  
                    + 72 m²
                  
               
                5 rum","124
                  
                    + 72 m²
                  
               
                5 rum",+ 62 m²,2 035 m² tomt,-5 %
30 augusti 2017,Duvesjön 308,"Romelanda,
          Kungälvs kommun","121 m²
               
                4 rum","121 m²
               
                4 rum",+ 40 m²,916 m² tomt,Slutpris 3 400 000 kr
29 augusti 2017,Hermelingatan 11,"Olseröd,
          Kungälvs kommun","126 m²
               
                5 rum","126 m²
               
                5 rum",+ 41 m²,548 m² tomt,+5 %
28 augusti 2017,Flädervägen 14,"Bohuslän,
          Kungälvs kommun","105 m²
               
                5 rum","105 m²
               
                5 rum",+ 44 m²,476 m² tomt,Slutpris 3 700 000 kr
24 augusti 2017,Solberga 900,"Kode,
          Kungälvs kommun","123 m²
               
                4 rum","123 m²
               
                4 rum",+ 15 m²,1 107 m² tomt,+6 %
8 oktober 2016,Solvagnsgatan 28,"Ytterby - Stället,
          Kungälvs kommun","164
                  
                    + 12 m²
                  
               
                6 rum","164
                  
                    + 12 m²
                  
               
                6 rum",+ 135 m²,441 m² tomt,Slutpris 2 670 000 kr
7 oktober 2016,Kärrhed 240,"Kärna,
          Kungälvs kommun","48 m²
               
                2 rum","48 m²
               
                2 rum",+ 14 m²,2 760 m² tomt,+7 %
5 oktober 2016,Sköldgatan 5,"Ytterby Stället,
          Kungälvs kommun","137
                  
                    + 8 m²
                  
               
                5 rum","137
                  
                    + 8 m²
                  
               
                5 rum",+ 45 m²,437 m² tomt,Slutpris 4 150 000 kr
30 september 2016,Signehög 210,"Kungälv - Romelanda,
          Kungälvs kommun","142 m²
               
                6 rum","142 m²
               
                6 rum",+ 72 m²,945 m² tomt,+7 %
29 september 2016,Hallsbrovägen 3,"Kärna,
          Kungälvs kommun","60 m²
               
                2 rum","60 m²
               
                2 rum",+ 37 m²,1 801 m² tomt,Slutpris 3 700 000 kr
29 september 2016,Lökebergsvägen 41,"Lökeberg,
          Kungälvs kommun","44
                  
                    + 6 m²
                  
               
                2 rum","44
                  
                    + 6 m²
                  
               
                2 rum",+ 49 m²,1 511 m² tomt,+16 %
29 september 2016,Domsvägen 3,"Ytterby,
          Kungälvs kommun","157
                  
                    + 99 m²
                  
               
                6 rum","157
                  
                    + 99 m²
                  
               
                6 rum",+ 9 m²,921 m² tomt,Slutpris 4 100 000 kr
25 september 2016,Plogvägen 180,"Kungälv,
          Kungälvs kommun","106
                  
                    + 5 m²","106
                  
                    + 5 m²",+ 112 m²,338 m² tomt,+8 %
23 september 2016,Bärtas väg 13,"Ödsmålsmosse,
          Kungälvs kommun","75 m²
               
                3 rum","75 m²
               
                3 rum",+ 140 m²,1 418 m² tomt,Slutpris 4 100 000 kr
23 september 2016,Onyxvägen 19,"Kode,
          Kungälvs kommun","155 m²
               
                7 rum","155 m²
               
                7 rum",+ 74 m²,557 m² tomt,+37 %
17 september 2016,Lingonvägen 38,"Centralt,
          Kungälvs kommun","127 m²
               
                5 rum","127 m²
               
                5 rum",+ 10 m²,428 m² tomt,Slutpris 2 700 000 kr
14 september 2016,Djupuddsvägen 20,"Marstrand - Instön,
          Kungälvs kommun","112 m²
               
                3 rum","112 m²
               
                3 rum",+ 88 m²,1 438 m² tomt,Slutpris 3 250 000 kr
13 september 2016,Kastellegårdsgatan 47,"KUNGÄLV,
          Kungälvs kommun","116
                  
                    + 50 m²
                  
               
                4 rum","116
                  
                    + 50 m²
                  
               
                4 rum",+ 80 m²,938 m² tomt,±0 %
10 september 2016,Rosenstensvägen 41,"Kode,
          Kungälvs kommun",135 m²,135 m²,+ 90 m²,193 m² tomt,Slutpris 4 000 000 kr
9 september 2016,Annas väg 25,"Kovikshamn,
          Kungälvs kommun","62
                  
                    + 22 m²
                  
               
                3 rum","62
                  
                    + 22 m²
                  
               
                3 rum",+ 62 m²,1 026 m² tomt,+12 %
2 september 2016,Knaverstad-Ryr 580,"Aröd,
          Kungälvs kommun","158
                  
                    + 4 m²
                  
               
                6 rum","158
                  
                    + 4 m²
                  
               
                6 rum",+ 60 m²,1 012 m² tomt,Slutpris 2 800 000 kr
1 september 2016,Solrosvägen 12,"Kärna,
          Kungälvs kommun","135
                  
                    + 96 m²
                  
               
                8 rum","135
                  
                    + 96 m²
                  
               
                8 rum",+ 20 m²,818 m² tomt,±0 %
30 augusti 2016,Bergåsvägen 16 C-D,"Ytterby,
          Kungälvs kommun","175,5 m²
               
                6 rum","175,5 m²
               
                6 rum",+ 8 m²,600 m² tomt,Slutpris 2 710 000 kr
28 augusti 2016,Åkerhög 310,"Vedhall - Åkerhög,
          Kungälvs kommun","65 m²
               
                3 rum","65 m²
               
                3 rum",+ 41 m²,1 500 m² tomt,+8 %
26 augusti 2016,Skårby Mosse 870,"Bohuslän,
          Kungälvs kommun","147
                  
                    + 50 m²
                  
               
                5 rum","147
                  
                    + 50 m²
                  
               
                5 rum",+ 44 m²,3 073 m² tomt,Slutpris 4 575 000 kr
25 augusti 2016,Rörtången 126,"Rörtången,
          Kungälvs kommun","170
                  
                    + 20 m²
                  
               
                5 rum","170
                  
                    + 20 m²
                  
               
                5 rum",+ 50 m²,1 638 m² tomt,+24 %
24 augusti 2016,Sjöhåla Strandväg 14,"Kovikshamn,
          Kungälvs kommun","164 m²
               
                4 rum","164 m²
               
                4 rum",+ 118 m²,1 075 m² tomt,Slutpris 3 650 000 kr
20 augusti 2016,Tegskiftegatan 20,"YTTERBY,
          Kungälvs kommun","102
                  
                    + 102 m²
                  
               
                5 rum","102
                  
                    + 102 m²
                  
               
                5 rum",+ 60 m²,969 m² tomt,+22 %
18 augusti 2016,Bärtas väg 23,"Ödsmålsmosse,
          Kungälvs kommun","51
                  
                    + 20 m²
                  
               
                3 rum","51
                  
                    + 20 m²
                  
               
                3 rum",+ 16 m²,1 380 m² tomt,Slutpris 5 875 000 kr
15 augusti 2016,Långgatan 8,"Marstrandsön,
          Kungälvs kommun","244
                  
                    + 50 m²
                  
               
                11 rum","244
                  
                    + 50 m²
                  
               
                11 rum",+ 96 m²,318 m² tomt,+2 %
14 augusti 2016,Instölid 40,"Marstrand-Instön,
          Kungälvs kommun","70 m²
               
                4 rum","70 m²
               
                4 rum",+ 16 m²,1 010 m² tomt,Slutpris 4 950 000 kr
12 augusti 2016,Åsebyberg 847,"KODE,
          Kungälvs kommun","120
                  
                    + 15 m²
                  
               
                4 rum","120
                  
                    + 15 m²
                  
               
                4 rum",+ 71 m²,1 163 m² tomt,+10 %
8 augusti 2016,Bremnäs 305,"LYCKE,
          Kungälvs kommun","115 m²
               
                4 rum","115 m²
               
                4 rum",+ 54 m²,1 979 m² tomt,Slutpris 4 325 000 kr
28 juli 2016,Tröskvägen 256,"Ullstorp,
          Kungälvs kommun","149
                  
                    + 9 m²
                  
               
                6 rum","149
                  
                    + 9 m²
                  
               
                6 rum","+ 23,5 m²",440 m² tomt,+24 %
27 juli 2016,Östra röd 248,"HARESTAD,
          Kungälvs kommun",144 m²,144 m²,+ 7 m²,2 006 m² tomt,Slutpris 4 575 000 kr
25 juli 2016,Stenstavägen 21,"Tjuvkil,
          Kungälvs kommun","140
                  
                    + 58 m²
                  
               
                6 rum","140
                  
                    + 58 m²
                  
               
                6 rum",+ 18 m²,1 223 m² tomt,Slutpris 7 150 000 kr
20 juli 2016,Rombacka 180,"Kareby,
          Kungälvs kommun","53
                  
                    + 7 m²
                  
               
                2 rum","53
                  
                    + 7 m²
                  
               
                2 rum",+ 35 m²,2 031 m² tomt,+10 %
18 juli 2016,Vedbackavägen 4 A + B,"Rödbo,
          Kungälvs kommun","254
                  
                    + 42 m²
                  
               
                7 rum","254
                  
                    + 42 m²
                  
               
                7 rum",+ 36 m²,1 046 m² tomt,Slutpris 4 555 000 kr
15 juli 2016,Lefstad 110,"Kärna,
          Kungälvs kommun","182 m²
               
                8 rum","182 m²
               
                8 rum",+ 145 m²,2 630 m² tomt,+17 %
15 juli 2016,Gunneröd 290,"Lycke,
          Kungälvs kommun","132
                  
                    + 39 m²
                  
               
                4 rum","132
                  
                    + 39 m²
                  
               
                4 rum",+ 142 m²,2 125 m² tomt,Slutpris 2 800 000 kr
13 juli 2016,Duvesjön 228,"Duvesjön,
          Kungälvs kommun","121
                  
                    + 37 m²
                  
               
                5 rum","121
                  
                    + 37 m²
                  
               
                5 rum",+ 32 m²,1 150 m² tomt,+41 %
11 juli 2016,Violgatan 7,"Ytterby,
          Kungälvs kommun","139
                  
                    + 36 m²
                  
               
                7 rum","139
                  
                    + 36 m²
                  
               
                7 rum",+ 31 m²,588 m² tomt,Slutpris 4 820 000 kr
10 juli 2016,Instölid 65,"Marstrand-Instön,
          Kungälvs kommun","60 m²
               
                4 rum","60 m²
               
                4 rum",+ 91 m²,1 012 m² tomt,+24 %
8 juli 2016,Rörtången 103,"Rörtången,
          Kungälvs kommun","162
                  
                    + 62 m²
                  
               
                5 rum","162
                  
                    + 62 m²
                  
               
                5 rum",+ 58 m²,1 015 m² tomt,Slutpris 3 550 000 kr
6 juli 2016,Nereby 360,"Kärna - Harestad,
          Kungälvs kommun","120
                  
                    + 40 m²
                  
               
                6 rum","120
                  
                    + 40 m²
                  
               
                6 rum",+ 55 m²,1 149 m² tomt,+20 %
6 juli 2016,Skår 260,"Romelanda Skår,
          Kungälvs kommun","31 m²
               
                2 rum","31 m²
               
                2 rum",+ 12 m²,785 m² tomt,Slutpris 3 295 000 kr
5 juli 2016,Mariebergsvägen 130,"Östra Kungälv - Marieberg,
          Kungälvs kommun","230
                  
                    + 41 m²
                  
               
                10 rum","230
                  
                    + 41 m²
                  
               
                10 rum",+ 44 m²,2 100 m² tomt,±0 %
5 juli 2016,Lerlycke 240,"Lerlycke - Kärna,
          Kungälvs kommun","129
                  
                    + 44 m²
                  
               
                3 rum","129
                  
                    + 44 m²
                  
               
                3 rum",+ 6 m²,12 665 m² tomt,Slutpris 5 300 000 kr
4 juli 2016,Rörtången 295,"Kode,
          Kungälvs kommun","90
                  
                    + 15 m²
                  
               
                4 rum","90
                  
                    + 15 m²
                  
               
                4 rum",+ 4 m²,1 795 m² tomt,+8 %
4 juli 2016,Dannemarksgatan 45,"Tega,
          Kungälvs kommun","140 m²
               
                5 rum","140 m²
               
                5 rum",+ 40 m²,1 072 m² tomt,Slutpris 3 450 000 kr
4 juli 2016,Krokens Väg 11,"Tjuvkil,
          Kungälvs kommun","148 m²
               
                6 rum","148 m²
               
                6 rum",+ 110 m²,1 155 m² tomt,+10 %
1 juli 2016,Briljantvägen 9,"KODE,
          Kungälvs kommun","125 m²
               
                5 rum","125 m²
               
                5 rum",+ 117 m²,350 m² tomt,Slutpris 2 500 000 kr
28 juni 2016,Rörmossevägen 180,"Rörmossen,
          Kungälvs kommun","110
                  
                    + 135 m²
                  
               
                6 rum","110
                  
                    + 135 m²
                  
               
                6 rum",+ 76 m²,1 827 m² tomt,-7 %
26 juni 2016,Hammar 565,"Skäggstorp,
          Kungälvs kommun","160 m²
               
                4 rum","160 m²
               
                4 rum",+ 60 m²,2 210 m² tomt,Slutpris 4 725 000 kr
22 juni 2016,Byvägen 33,"Kode Ödsmål,
          Kungälvs kommun","58 m²
               
                3 rum","58 m²
               
                3 rum",+ 30 m²,1 871 m² tomt,+6 %
20 april 2021,Gulskärsvägen 21,"Tjuvkil,
          Kungälvs kommun","149
                  
                    + 14 m²
                  
               
                6 rum","149
                  
                    + 14 m²
                  
               
                6 rum",+ 14 m²,1 512 m² tomt,Slutpris 2 100 000 kr
20 april 2021,Mårdgatan 4,"Olseröd,
          Kungälvs kommun","124
                  
                    + 45 m²
                  
               
                5 rum","124
                  
                    + 45 m²
                  
               
                5 rum",+ 61 m²,1 122 m² tomt,+62 %
19 april 2021,Lilla Fjellsholmen 22,"Lilla Fjellsholmen,
          Kungälvs kommun",4 rum,4 rum,+ 7 m²,406 m² tomt,Slutpris 4 400 000 kr
16 april 2021,Lindvägen 8,"Ytterby,
          Kungälvs kommun","244
                  
                    + 72 m²
                  
               
                7 rum","244
                  
                    + 72 m²
                  
               
                7 rum",+ 25 m²,1 330 m² tomt,+11 %
16 april 2021,Stenåldersgatan 41,"Ytterby,
          Kungälvs kommun","120 m²
               
                5 rum","120 m²
               
                5 rum",+ 31 m²,404 m² tomt,Slutpris 3 100 000 kr
16 april 2021,Harkvägen 335,"Ullstorp,
          Kungälvs kommun","131 m²
               
                4 rum","131 m²
               
                4 rum",+ 83 m²,1 434 m² tomt,+9 %
15 april 2021,Prästvägen 296,"Kareby,
          Kungälvs kommun","187 m²
               
                6 rum","187 m²
               
                6 rum",+ 54 m²,1 150 m² tomt,Slutpris 1 150 000 kr
15 april 2021,Duvesjön 228,"Diseröd,
          Kungälvs kommun","121
                  
                    + 37 m²
                  
               
                5 rum","121
                  
                    + 37 m²
                  
               
                5 rum",+ 34 m²,1 227 m² tomt,-2 %
15 april 2021,Kuskalundsvägen 11,"Hålta,
          Kungälvs kommun","110
                  
                    + 49 m²
                  
               
                3 rum","110
                  
                    + 49 m²
                  
               
                3 rum",+ 9 m²,806 m² tomt,Slutpris 2 550 000 kr
14 april 2021,Ulvesund 412,"Ulvesund,
          Kungälvs kommun","106
                  
                    + 9 m²
                  
               
                4 rum","106
                  
                    + 9 m²
                  
               
                4 rum",+ 72 m²,986 m² tomt,+11 %
13 april 2021,Mantalsgatan 15,"Tega,
          Kungälvs kommun","110 m²
               
                4 rum","110 m²
               
                4 rum",+ 123 m²,798 m² tomt,Slutpris 4 850 000 kr
13 april 2021,Klintegatan 7,"Kungälv - Centrum,
          Kungälvs kommun","143
                  
                    + 112 m²
                  
               
                5 rum","143
                  
                    + 112 m²
                  
               
                5 rum",+ 133 m²,1 062 m² tomt,+14 %
12 april 2021,Duvesjön 205,"Diseröd,
          Kungälvs kommun","126 m²
               
                4 rum","126 m²
               
                4 rum",+ 21 m²,376 m² tomt,Slutpris 4 300 000 kr
8 april 2021,Nygatan 6,"Marstrand - Koön,
          Kungälvs kommun","90 m²
               
                4 rum","90 m²
               
                4 rum",+ 20 m²,2 868 m² tomt,+23 %
8 april 2021,Prästvägen 170,"Kareby,
          Kungälvs kommun","95
                  
                    + 140 m²
                  
               
                7 rum","95
                  
                    + 140 m²
                  
               
                7 rum",+ 40 m²,3 030 m² tomt,Slutpris 3 250 000 kr
4 april 2021,Hammarberg 825,"Kode,
          Kungälvs kommun","65
                  
                    + 74 m²
                  
               
                5 rum","65
                  
                    + 74 m²
                  
               
                5 rum",+ 61 m²,834 m² tomt,+31 %
2 april 2021,Duvesjön 420,"Bohuslän,
          Kungälvs kommun","127
                  
                    + 10 m²
                  
               
                5 rum","127
                  
                    + 10 m²
                  
               
                5 rum",+ 19 m²,849 m² tomt,Slutpris 4 750 000 kr
1 april 2021,Rönnvägen 11,"Diseröd,
          Kungälvs kommun","120
                  
                    + 88 m²
                  
               
                6 rum","120
                  
                    + 88 m²
                  
               
                6 rum",+ 50 m²,1 375 m² tomt,±0 %
1 april 2021,Toreby mosse 570,"Ytterby,
          Kungälvs kommun","110
                  
                    + 80 m²
                  
               
                8 rum","110
                  
                    + 80 m²
                  
               
                8 rum",+ 15 m²,1 734 m² tomt,Slutpris 4 560 000 kr
1 april 2021,Häljeröd 106,"Diseröd,
          Kungälvs kommun","120
                  
                    + 90 m²
                  
               
                8 rum","120
                  
                    + 90 m²
                  
               
                8 rum",+ 70 m²,600 m² tomt,+15 %
26 mars 2021,Domsvägen 7B,"Centralt Ytterby,
          Kungälvs kommun","159
                  
                    + 62 m²
                  
               
                6 rum","159
                  
                    + 62 m²
                  
               
                6 rum",+ 62 m²,1 121 m² tomt,Slutpris 3 500 000 kr
25 mars 2021,Grandalen 110,"Duvesjön,
          Kungälvs kommun","65 m²
               
                2 rum","65 m²
               
                2 rum",+ 9 m²,1 175 m² tomt,±0 %
25 mars 2021,Kroken 142,"Harestad,
          Kungälvs kommun",,,+ 20 m²,769 m² tomt,Slutpris 3 425 000 kr
23 mars 2021,Ekvägen 2,"Ytterby,
          Kungälvs kommun","177
                  
                    + 60 m²
                  
               
                7 rum","177
                  
                    + 60 m²
                  
               
                7 rum",+ 60 m²,2 269 m² tomt,+1 %
22 mars 2021,Råckeröd 140,"Kärna,
          Kungälvs kommun","66
                  
                    + 20 m²
                  
               
                3 rum","66
                  
                    + 20 m²
                  
               
                3 rum",+ 9 m²,299 m² tomt,Slutpris 2 800 000 kr
19 mars 2021,Nätstigen 7,"Centralt,
          Kungälvs kommun","120 m²
               
                4 rum","120 m²
               
                4 rum",+ 65 m²,1 499 m² tomt,+12 %
18 mars 2021,Hallbjörtorp 492,"Kärna,
          Kungälvs kommun","104
                  
                    + 8 m²
                  
               
                3 rum","104
                  
                    + 8 m²
                  
               
                3 rum",+ 53 m²,4 859 m² tomt,Slutpris 2 730 000 kr
18 mars 2021,Dösebacka 130,"Diseröd,
          Kungälvs kommun","123
                  
                    + 41 m²
                  
               
                6 rum","123
                  
                    + 41 m²
                  
               
                6 rum",+ 48 m²,903 m² tomt,+9 %
17 mars 2021,Åsgatan 17A,"Centrum,
          Kungälvs kommun","84
                  
                    + 44 m²
                  
               
                4 rum","84
                  
                    + 44 m²
                  
               
                4 rum",+ 85 m²,138 m² tomt,Slutpris 2 840 000 kr
17 mars 2021,Tvetgatan 263,"Tveten,
          Kungälvs kommun","100
                  
                    + 50 m²
                  
               
                6 rum","100
                  
                    + 50 m²
                  
               
                6 rum",+ 21 m²,288 m² tomt,+5 %
16 mars 2021,Olserödsgatan 86,"Kungälv - Olseröd,
          Kungälvs kommun","104 m²
               
                5 rum","104 m²
               
                5 rum",+ 75 m²,1 434 m² tomt,Slutpris 3 325 000 kr
16 mars 2021,Tjuvkil 450,"Tjuvkil,
          Kungälvs kommun","237
                  
                    + 118 m²
                  
               
                8 rum","237
                  
                    + 118 m²
                  
               
                8 rum",+ 61 m²,1 927 m² tomt,+15 %
16 mars 2021,Rondan 19,"Rörtången / Ödsmålsmosse,
          Kungälvs kommun","60
                  
                    + 60 m²
                  
               
                4 rum","60
                  
                    + 60 m²
                  
               
                4 rum",+ 68 m²,1 038 m² tomt,Slutpris 4 700 000 kr
16 mars 2021,Åsebyberg 960,"Kode,
          Kungälvs kommun","157
                  
                    + 16 m²
                  
               
                5 rum","157
                  
                    + 16 m²
                  
               
                5 rum",+ 13 m²,1 438 m² tomt,-1 %
