Date of Sale,Address,Location,Living Area,Room,Ancillary Areas,Plot,Closing Price
Såld 9 september 2016,Annas väg 25,"Annas väg 25
        

VillaVilla

            Kovikshamn,
          Kungälvs kommun","62
                  
                    + 22 m²
                  
               
                3 rum","62
                  
                    + 22 m²
                  
               
                3 rum",+ 62 m²,1 026 m² tomt,+12 %
Såld 2 september 2016,Knaverstad-Ryr 580,"Knaverstad-Ryr 580
        

VillaVilla

            Aröd,
          Kungälvs kommun","158
                  
                    + 4 m²
                  
               
                6 rum","158
                  
                    + 4 m²
                  
               
                6 rum",+ 60 m²,1 012 m² tomt,Slutpris 2 800 000 kr
Såld 1 september 2016,Solrosvägen 12,"Solrosvägen 12
        

VillaVilla

            Kärna,
          Kungälvs kommun","135
                  
                    + 96 m²
                  
               
                8 rum","135
                  
                    + 96 m²
                  
               
                8 rum",+ 20 m²,818 m² tomt,±0 %
Såld 30 augusti 2016,Bergåsvägen 16 C-D,"Bergåsvägen 16 C-D
        

VillaVilla

            Ytterby,
          Kungälvs kommun","175,5 m²
               
                6 rum","175,5 m²
               
                6 rum",+ 8 m²,600 m² tomt,Slutpris 2 710 000 kr
Såld 28 augusti 2016,Åkerhög 310,"Åkerhög 310
        

VillaVilla

            Vedhall - Åkerhög,
          Kungälvs kommun","65 m²
               
                3 rum","65 m²
               
                3 rum",+ 41 m²,1 500 m² tomt,+8 %
Såld 26 augusti 2016,Skårby Mosse 870,"Skårby Mosse 870
        

VillaVilla

            Bohuslän,
          Kungälvs kommun","147
                  
                    + 50 m²
                  
               
                5 rum","147
                  
                    + 50 m²
                  
               
                5 rum",+ 44 m²,3 073 m² tomt,Slutpris 4 575 000 kr
Såld 25 augusti 2016,Rörtången 126,"Rörtången 126
        

VillaVilla

            Rörtången,
          Kungälvs kommun","170
                  
                    + 20 m²
                  
               
                5 rum","170
                  
                    + 20 m²
                  
               
                5 rum",+ 50 m²,1 638 m² tomt,+24 %
Såld 24 augusti 2016,Sjöhåla Strandväg 14,"Sjöhåla Strandväg 14
        

VillaVilla

            Kovikshamn,
          Kungälvs kommun","164 m²
               
                4 rum","164 m²
               
                4 rum",+ 118 m²,1 075 m² tomt,Slutpris 3 650 000 kr
Såld 20 augusti 2016,Tegskiftegatan 20,"Tegskiftegatan 20
        

VillaVilla

            YTTERBY,
          Kungälvs kommun","102
                  
                    + 102 m²
                  
               
                5 rum","102
                  
                    + 102 m²
                  
               
                5 rum",+ 60 m²,969 m² tomt,+22 %
Såld 18 augusti 2016,Bärtas väg 23,"Bärtas väg 23
        

VillaVilla

            Ödsmålsmosse,
          Kungälvs kommun","51
                  
                    + 20 m²
                  
               
                3 rum","51
                  
                    + 20 m²
                  
               
                3 rum",+ 16 m²,1 380 m² tomt,Slutpris 5 875 000 kr
Såld 15 augusti 2016,Långgatan 8,"Långgatan 8
        

VillaVilla

            Marstrandsön,
          Kungälvs kommun","244
                  
                    + 50 m²
                  
               
                11 rum","244
                  
                    + 50 m²
                  
               
                11 rum",+ 96 m²,318 m² tomt,+2 %
Såld 14 augusti 2016,Instölid 40,"Instölid 40
        

VillaVilla

            Marstrand-Instön,
          Kungälvs kommun","70 m²
               
                4 rum","70 m²
               
                4 rum",+ 16 m²,1 010 m² tomt,Slutpris 4 950 000 kr
Såld 12 augusti 2016,Åsebyberg 847,"Åsebyberg 847
        

VillaVilla

            KODE,
          Kungälvs kommun","120
                  
                    + 15 m²
                  
               
                4 rum","120
                  
                    + 15 m²
                  
               
                4 rum",+ 71 m²,1 163 m² tomt,+10 %
Såld 8 augusti 2016,Bremnäs 305,"Bremnäs 305
        

VillaVilla

            LYCKE,
          Kungälvs kommun","115 m²
               
                4 rum","115 m²
               
                4 rum",+ 54 m²,1 979 m² tomt,Slutpris 4 325 000 kr
Såld 28 juli 2016,Tröskvägen 256,"Tröskvägen 256
        

VillaVilla

            Ullstorp,
          Kungälvs kommun","149
                  
                    + 9 m²
                  
               
                6 rum","149
                  
                    + 9 m²
                  
               
                6 rum","+ 23,5 m²",440 m² tomt,+24 %
Såld 27 juli 2016,Östra röd 248,"Östra röd 248
        

VillaVilla

            HARESTAD,
          Kungälvs kommun",144 m²,144 m²,+ 7 m²,2 006 m² tomt,Slutpris 4 575 000 kr
Såld 25 juli 2016,Stenstavägen 21,"Stenstavägen 21
        

VillaVilla

            Tjuvkil,
          Kungälvs kommun","140
                  
                    + 58 m²
                  
               
                6 rum","140
                  
                    + 58 m²
                  
               
                6 rum",+ 18 m²,1 223 m² tomt,Slutpris 7 150 000 kr
Såld 20 juli 2016,Rombacka 180,"Rombacka 180
        

VillaVilla

            Kareby,
          Kungälvs kommun","53
                  
                    + 7 m²
                  
               
                2 rum","53
                  
                    + 7 m²
                  
               
                2 rum",+ 35 m²,2 031 m² tomt,+10 %
Såld 18 juli 2016,Vedbackavägen 4 A + B,"Vedbackavägen 4 A + B
        

VillaVilla

            Rödbo,
          Kungälvs kommun","254
                  
                    + 42 m²
                  
               
                7 rum","254
                  
                    + 42 m²
                  
               
                7 rum",+ 36 m²,1 046 m² tomt,Slutpris 4 555 000 kr
Såld 15 juli 2016,Lefstad 110,"Lefstad 110
        

VillaVilla

            Kärna,
          Kungälvs kommun","182 m²
               
                8 rum","182 m²
               
                8 rum",+ 145 m²,2 630 m² tomt,+17 %
Såld 15 juli 2016,Gunneröd 290,"Gunneröd 290
        

VillaVilla

            Lycke,
          Kungälvs kommun","132
                  
                    + 39 m²
                  
               
                4 rum","132
                  
                    + 39 m²
                  
               
                4 rum",+ 142 m²,2 125 m² tomt,Slutpris 2 800 000 kr
Såld 13 juli 2016,Duvesjön 228,"Duvesjön 228
        

VillaVilla

            Duvesjön,
          Kungälvs kommun","121
                  
                    + 37 m²
                  
               
                5 rum","121
                  
                    + 37 m²
                  
               
                5 rum",+ 32 m²,1 150 m² tomt,+41 %
Såld 11 juli 2016,Violgatan 7,"Violgatan 7
        

VillaVilla

            Ytterby,
          Kungälvs kommun","139
                  
                    + 36 m²
                  
               
                7 rum","139
                  
                    + 36 m²
                  
               
                7 rum",+ 31 m²,588 m² tomt,Slutpris 4 820 000 kr
Såld 10 juli 2016,Instölid 65,"Instölid 65
        

VillaVilla

            Marstrand-Instön,
          Kungälvs kommun","60 m²
               
                4 rum","60 m²
               
                4 rum",+ 91 m²,1 012 m² tomt,+24 %
Såld 8 juli 2016,Rörtången 103,"Rörtången 103
        

VillaVilla

            Rörtången,
          Kungälvs kommun","162
                  
                    + 62 m²
                  
               
                5 rum","162
                  
                    + 62 m²
                  
               
                5 rum",+ 58 m²,1 015 m² tomt,Slutpris 3 550 000 kr
Såld 6 juli 2016,Nereby 360,"Nereby 360
        

VillaVilla

            Kärna - Harestad,
          Kungälvs kommun","120
                  
                    + 40 m²
                  
               
                6 rum","120
                  
                    + 40 m²
                  
               
                6 rum",+ 55 m²,1 149 m² tomt,+20 %
Såld 6 juli 2016,Skår 260,"Skår 260
        

VillaVilla

            Romelanda Skår,
          Kungälvs kommun","31 m²
               
                2 rum","31 m²
               
                2 rum",+ 12 m²,785 m² tomt,Slutpris 3 295 000 kr
Såld 5 juli 2016,Mariebergsvägen 130,"Mariebergsvägen 130
        

VillaVilla

            Östra Kungälv - Marieberg,
          Kungälvs kommun","230
                  
                    + 41 m²
                  
               
                10 rum","230
                  
                    + 41 m²
                  
               
                10 rum",+ 44 m²,2 100 m² tomt,±0 %
Såld 5 juli 2016,Lerlycke 240,"Lerlycke 240
        

VillaVilla

            Lerlycke - Kärna,
          Kungälvs kommun","129
                  
                    + 44 m²
                  
               
                3 rum","129
                  
                    + 44 m²
                  
               
                3 rum",+ 6 m²,12 665 m² tomt,Slutpris 5 300 000 kr
Såld 4 juli 2016,Rörtången 295,"Rörtången 295
        

VillaVilla

            Kode,
          Kungälvs kommun","90
                  
                    + 15 m²
                  
               
                4 rum","90
                  
                    + 15 m²
                  
               
                4 rum",+ 4 m²,1 795 m² tomt,+8 %
Såld 4 juli 2016,Dannemarksgatan 45,"Dannemarksgatan 45
        

VillaVilla

            Tega,
          Kungälvs kommun","140 m²
               
                5 rum","140 m²
               
                5 rum",+ 40 m²,1 072 m² tomt,Slutpris 3 450 000 kr
Såld 4 juli 2016,Krokens Väg 11,"Krokens Väg 11
        

VillaVilla

            Tjuvkil,
          Kungälvs kommun","148 m²
               
                6 rum","148 m²
               
                6 rum",+ 110 m²,1 155 m² tomt,+10 %
Såld 1 juli 2016,Briljantvägen 9,"Briljantvägen 9
        

VillaVilla

            KODE,
          Kungälvs kommun","125 m²
               
                5 rum","125 m²
               
                5 rum",+ 117 m²,350 m² tomt,Slutpris 2 500 000 kr
Såld 28 juni 2016,Rörmossevägen 180,"Rörmossevägen 180
        

VillaVilla

            Rörmossen,
          Kungälvs kommun","110
                  
                    + 135 m²
                  
               
                6 rum","110
                  
                    + 135 m²
                  
               
                6 rum",+ 76 m²,1 827 m² tomt,-7 %
Såld 26 juni 2016,Hammar 565,"Hammar 565
        

VillaVilla

            Skäggstorp,
          Kungälvs kommun","160 m²
               
                4 rum","160 m²
               
                4 rum",+ 60 m²,2 210 m² tomt,Slutpris 4 725 000 kr
Såld 22 juni 2016,Byvägen 33,"Byvägen 33
        

VillaVilla

            Kode Ödsmål,
          Kungälvs kommun","58 m²
               
                3 rum","58 m²
               
                3 rum",+ 30 m²,1 871 m² tomt,+6 %
Såld 20 april 2021,Gulskärsvägen 21,"Gulskärsvägen 21
        

VillaVilla

            Tjuvkil,
          Kungälvs kommun","149
                  
                    + 14 m²
                  
               
                6 rum","149
                  
                    + 14 m²
                  
               
                6 rum",+ 14 m²,1 512 m² tomt,Slutpris 2 100 000 kr
Såld 20 april 2021,Mårdgatan 4,"Mårdgatan 4
        

VillaVilla

            Olseröd,
          Kungälvs kommun","124
                  
                    + 45 m²
                  
               
                5 rum","124
                  
                    + 45 m²
                  
               
                5 rum",+ 61 m²,1 122 m² tomt,+62 %
Såld 19 april 2021,Lilla Fjellsholmen 22,"Lilla Fjellsholmen 22
        

VillaVilla

            Lilla Fjellsholmen,
          Kungälvs kommun",4 rum,4 rum,+ 7 m²,406 m² tomt,Slutpris 4 400 000 kr
Såld 16 april 2021,Lindvägen 8,"Lindvägen 8
        

VillaVilla

            Ytterby,
          Kungälvs kommun","244
                  
                    + 72 m²
                  
               
                7 rum","244
                  
                    + 72 m²
                  
               
                7 rum",+ 25 m²,1 330 m² tomt,+11 %
Såld 16 april 2021,Stenåldersgatan 41,"Stenåldersgatan 41
        

VillaVilla

            Ytterby,
          Kungälvs kommun","120 m²
               
                5 rum","120 m²
               
                5 rum",+ 31 m²,404 m² tomt,Slutpris 3 100 000 kr
Såld 16 april 2021,Harkvägen 335,"Harkvägen 335
        

VillaVilla

            Ullstorp,
          Kungälvs kommun","131 m²
               
                4 rum","131 m²
               
                4 rum",+ 83 m²,1 434 m² tomt,+9 %
Såld 15 april 2021,Prästvägen 296,"Prästvägen 296
        

VillaVilla

            Kareby,
          Kungälvs kommun","187 m²
               
                6 rum","187 m²
               
                6 rum",+ 54 m²,1 150 m² tomt,Slutpris 1 150 000 kr
Såld 15 april 2021,Duvesjön 228,"Duvesjön 228
        

VillaVilla

            Diseröd,
          Kungälvs kommun","121
                  
                    + 37 m²
                  
               
                5 rum","121
                  
                    + 37 m²
                  
               
                5 rum",+ 34 m²,1 227 m² tomt,-2 %
Såld 15 april 2021,Kuskalundsvägen 11,"Kuskalundsvägen 11
        

VillaVilla

            Hålta,
          Kungälvs kommun","110
                  
                    + 49 m²
                  
               
                3 rum","110
                  
                    + 49 m²
                  
               
                3 rum",+ 9 m²,806 m² tomt,Slutpris 2 550 000 kr
